"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"167";22,02;22,055;21,73;21,805;2119600;47,5;47,5;46,8;47,02;281400;5937,27002;5948,910156;5896,52002;5912,580078;23078700
"168";21,79;21,85;21,31;21,765;2732900;47,4;47,845;46,72;47,775;350400;5899,990234;5957,319824;5845,490234;5951,169922;26027900
"169";21,97;22,045;21,495;21,61;1315500;48,2;48,25;47,345;47,66;221500;5973,47998;5978,189941;5889,839844;5912,410156;13770700
"170";21,22;21,65;21,165;21,595;2376000;47,04;47,885;46,7;47,885;284300;5846,029785;5925,810059;5833,509766;5925,220215;28331400
"171";21,7;22,285;21,425;22,21;3686700;48,1;49,55;47,76;49,335;404100;5936,939941;6087,939941;5876,430176;6083,899902;34019300
"172";22,13;22,53;22,1;22,465;2041400;49,35;50,24;49,15;49,94;310300;6071,560059;6104,089844;6052,549805;6083,850098;27498300
"173";22,585;22,885;22,465;22,56;2510400;50,33;50,9;50;50,18;273400;6091,660156;6178,009766;6088,259766;6134,620117;28219900
"174";22,73;22,885;22,685;22,775;1466900;50,35;50,93;50,35;50,86;152600;6156,290039;6164,930176;6140,97998;6155,040039;17930500
"175";22,83;22,885;22,54;22,7;2550700;50,96;51;50,31;50,76;243300;6136,919922;6138,930176;6083,200195;6117,890137;20940300
"176";22,68;23,22;22,355;23,155;4511400;50,3;51,55;50,11;51,23;352000;6099,330078;6180,379883;6062,649902;6164,439941;27335100
"177";23,15;23,48;22,91;23,3;2304100;51,05;51,86;50,8;51,44;174100;6141,839844;6233,069824;6133,990234;6221,52002;28191500
"178";23,4;23,565;23,145;23,175;1820500;51,55;51,98;51,03;51,29;160500;6186,220215;6224,649902;6182,560059;6214,77002;29874500
"179";23,55;23,585;23,29;23,435;2091900;51,69;52,09;51,46;51,87;183000;6258,509766;6290,870117;6231,52002;6261,680176;28716900
"180";23,49;23,72;23,19;23,49;3262300;52,1;52,21;50,92;51,5;203700;6261,779785;6287,779785;6231,379883;6275,410156;31979400
"181";23,655;23,655;23,08;23,26;2367800;51,78;51,82;51;51,54;210600;6282,52002;6288,200195;6227,200195;6261,870117;27933900
"182";23,31;23,31;22,92;23,015;1880800;51,3;51,45;50,44;50,44;272400;6255,140137;6281,100098;6233,970215;6249,649902;29403500
"183";23,39;23,595;23,07;23,47;6797500;51,3;51,4;50,53;50,88;492600;6297,930176;6321,200195;6185,740234;6209,759766;83782200
"184";23,65;23,65;23,22;23,435;2280600;50,83;51,23;50,08;50,33;260300;6231,279785;6301,629883;6219,850098;6294,580078;28489200
"185";23,495;23,96;23,39;23,815;2991100;50;51,04;49,43;50,59;309900;6281,069824;6339,970215;6275,97998;6275,97998;36518100
"186";23,94;24;23,6;23,745;2877100;50,7;51,01;49,775;49,795;255500;6286,330078;6297,399902;6192,430176;6208,330078;38750300
"187";24,045;24,045;23,005;23,22;3153300;49,95;49,95;47,28;48,06;542200;6252,310059;6263,740234;6129,439941;6184,709961;32363100
"188";23,1;23,555;22,905;23,505;2342900;47,77;48,46;47,2;48,44;422700;6173,890137;6310,279785;6146,419922;6298,299805;36674600
"189";23,575;23,75;23,45;23,575;2222100;48,515;48,705;47,525;47,58;239800;6307,870117;6324,089844;6272,169922;6278,890137;28926800
"190";23,535;24;23,27;23,89;2578800;47,64;48,2;47;47,9;280600;6258,200195;6311,919922;6197,959961;6276,089844;34090000
"191";24;24,09;23,435;23,585;2596600;47,95;48,2;46,83;46,89;319700;6296,279785;6326,339844;6223,140137;6246,919922;34768700
"192";23,66;24,4;23,55;23,92;4081000;46,92;48,6;46,75;47,515;550700;6214,02002;6339,359863;6204,689941;6229,02002;38524700
"193";24;24,99;24;24,53;3939200;47,75;48,25;46,89;47,175;466300;6244,060059;6293,089844;6187,220215;6211,339844;40205100
"194";24,565;24,64;24,055;24,125;2074300;47,44;47,46;45,765;45,95;409000;6205;6210,25;6128,540039;6134,209961;28583000
"195";24,165;24,555;23,825;24,49;2525300;46,25;47,875;45,825;47,725;756900;6132,120117;6233,450195;6115,870117;6215,830078;33121300
"196";24,93;25,18;24,765;24,925;3453500;48,42;49,455;48,31;48,73;534900;6248,810059;6289,560059;6242,52002;6270,72998;35882100
"197";25;25,62;24,82;25,38;3895900;49,03;49,88;48,325;49,46;441400;6278,609863;6321,790039;6233,140137;6276,25;30503800
"198";25,5;25,65;25,295;25,57;3081700;49,79;49,85;49,18;49,59;332300;6269,47998;6295,089844;6239,430176;6291,669922;30996700
"199";25,67;25,855;25,465;25,665;1740300;51,25;51,54;50,93;51,23;549600;6308,430176;6325,310059;6289,359863;6309,509766;20361900
"200";25,3;25,455;25,05;25,39;2976000;50,89;51,34;50,23;51,27;367200;6257,029785;6316,77002;6228,390137;6304,569824;29308300
"201";25,59;26,415;25,59;26,245;2973900;51,89;53,9;51,69;53,54;775700;6339,759766;6456,27002;6335,220215;6434,52002;39405000
"202";26,365;26,58;26,2;26,225;2161600;53,6;53,9;52,94;53,01;248700;6446,319824;6485,709961;6445,319824;6455,27002;31846200
"203";26,36;26,9;26,3;26,685;4340400;53;54;52,93;53,89;413100;6478;6512,779785;6438,779785;6492,299805;48250000
"204";26,485;26,675;26,31;26,415;2382900;54,27;54,45;53,42;53,99;278500;6465,830078;6533,830078;6462,589844;6516,629883;25772600
"205";26,3;26,55;25,935;26,125;3038100;54,38;54,52;52,33;52,87;441800;6508,359863;6544,790039;6472,180176;6490,689941;29970200
"206";25,925;26,48;25,92;26,42;2205600;52,7;54,75;52,49;54,75;368100;6470,299805;6527,850098;6461,47998;6524,549805;26325000
"207";26,3;26,77;26,19;26,605;2019000;54,47;54,76;54,12;54,22;258200;6514,990234;6621,839844;6504,660156;6611,009766;30509500
"208";26,515;26,69;26,455;26,52;1502300;54,11;54,4;53,77;54;189000;6594,899902;6623,939941;6586,399902;6605,839844;24196400
"209";26,79;27,21;26,7;27,12;2478900;54,34;55,42;54,31;55,25;278200;6645,450195;6668,540039;6625,830078;6639,209961;23578000
"210";26,5;26,71;26,155;26,4;4350000;54;54,2;52,41;52,81;617900;6634,240234;6645,700195;6580,279785;6613,799805;31144200
"211";26,28;26,48;26,12;26,23;2656400;52,8;53,72;52,55;52,67;319200;6591,240234;6629,129883;6553,25;6568;37387200
"212";26,3;26,78;26,11;26,445;1983700;52,4;52,72;51,56;51,77;469800;6600,279785;6644,609863;6576,02002;6595,279785;34311700
"213";26,4;26,565;26,275;26,44;1625800;52;52;50,87;51,59;337300;6585,970215;6630,97998;6569,25;6601,370117;33007700
"214";26,675;26,74;26,245;26,345;1226000;52,09;52,21;51,19;51,5;223300;6637,089844;6670,899902;6586,009766;6604,859863;25403100
"215";26,35;26,805;26,35;26,72;2034500;51,5;51,76;50,25;51,59;482600;6600,410156;6668,930176;6597,459961;6654,310059;24046400
"216";26,85;26,885;26,425;26,55;1533800;52;52,58;51,46;52,2;465100;6666,069824;6682,910156;6604,75;6617,799805;27328100
"217";26,855;27,355;26,56;27,01;3865700;53,25;53,98;53,02;53,95;515900;6677,779785;6757,290039;6676,419922;6734,689941;39901300
"218";27,18;27,58;26,975;27,31;2385200;53,95;55,33;53,79;55,01;548300;6743,560059;6775,169922;6712,470215;6754,200195;35627200
"219";27,5;27,99;27,375;27,85;2391400;55,21;55,34;54,52;55,03;199800;6746,439941;6759,410156;6728,350098;6750,5;25373400
"220";27,85;28,585;27,81;28,375;2623600;55,2;56,27;54,8;55,94;400700;6742,049805;6810,859863;6736,629883;6787,810059;32465800
"221";28,21;28,27;27,7;27,85;2127000;56,01;56,01;54,67;54,99;297600;6759,589844;6783,689941;6684,220215;6719,839844;41237200
"222";28,01;28,19;27,75;28,09;2204700;55;55,4;53,82;54,77;297800;6747,799805;6750,390137;6700,470215;6723,410156;34122100
"223";27,7;28,08;27,3;27,785;3664300;54,2;54,2;52,53;52,95;561100;6650,919922;6758,589844;6617,970215;6734,609863;37468500
"224";27,65;28,06;27,515;28,015;1738800;52,3;53,46;52,18;53,29;276900;6705,129883;6812,959961;6679,689941;6790,169922;34458600
"225";27,755;27,78;27,145;27,22;3115200;52,5;52,65;50,77;50,8;595600;6751,129883;6772,009766;6663,149902;6663,240234;33355900
"226";27,1;27,585;26,815;27,375;2349500;50,76;51,18;50,38;51,03;312500;6658,990234;6705,189941;6653,569824;6700,069824;24864000
"227";27,665;28,065;27,6;28,065;2138000;51,64;51,99;51,35;51,48;353300;6765,700195;6835,540039;6754,399902;6832,109863;29329200
"228";27,97;28,39;27,86;28,39;3066500;51,4;51,86;51,02;51,84;326200;6841,370117;6854,089844;6794,430176;6843,549805;42738800
"229";28,46;28,935;28,38;28,49;2430700;52,15;52,35;50,77;50,92;289500;6892,02002;6901,930176;6805,970215;6822,049805;29098500
"230";28,325;28,61;28,01;28,22;2419200;50,84;50,84;49,965;50,07;323200;6791,75;6827,830078;6705;6705;35161100
