Date;usd
02.12.2002;-0,565715217
03.12.2002;0,967847055
04.12.2002;0,510383895
05.12.2002;-0,269878718
06.12.2002;0,150022532
09.12.2002;0,865720119
10.12.2002;0,178182585
11.12.2002;-0,436119236
12.12.2002;0,88019161
13.12.2002;0,63797635
16.12.2002;-0,088092797
17.12.2002;0,925977668
18.12.2002;-0,652165644
19.12.2002;0,321747462
20.12.2002;-0,175370271
23.12.2002;0,262940211
24.12.2002;0,136067666
27.12.2002;0,773997672
30.12.2002;0,442350947
31.12.2002;0,621743837
02.01.2003;-0,391726484
03.01.2003;-0,518285065
06.01.2003;0,919546709
07.01.2003;-0,602497878
08.01.2003;-0,461494906
09.01.2003;1,244988308
10.01.2003;-0,038077107
13.01.2003;0,437013806
14.01.2003;0,265076365
15.01.2003;-0,483344541
16.01.2003;0,36036075
17.01.2003;0,829567352
20.01.2003;0,009387468
21.01.2003;
